,open,close,high,low,volume,predict
627,3707.03650328,3707.81790284,3714.523596,3705.01981269,7010.65934952,3702.78384576
628,3707.69499854,3702.78384576,3708.26620996,3700.0,26469.9062388,3695.92173734
629,3703.06851984,3695.92173734,3703.06851984,3691.85594,29013.07375453,3709.02384192
630,3697.16230206,3709.02384192,3712.32835444,3696.73005,1140.17785459,3710.69982001
631,3708.07033999,3710.69982001,3716.0,3706.76303147,11403.89079607,3716.0
632,3714.257404,3716.0,3716.0,3713.0,11292.179430299999,3715.1999600000004
633,3716.0,3715.1999600000004,3727.03435583,3713.0000126,23964.03234044,3707.0497373999997
634,3716.8,3707.0497373999997,3717.09999999,3707.0497373999997,22649.35602838,3727.0
635,3711.62628866,3727.0,3727.99,3711.62628866,8423.41198086,3728.8067215000005
636,3725.3205399999997,3728.8067215000005,3728.8067215000005,3719.94586099,11261.35078362,3728.19507996
637,3722.49400005,3728.19507996,3730.6,3722.49400005,8434.30285081,3727.47511623
638,3727.69504998,3727.47511623,3734.08999991,3726.12126608,26452.10023386,3718.34550123
639,3726.73769626,3718.34550123,3729.69307999,3710.06207444,27431.00552717,3718.66665001
640,3720.46018998,3718.66665001,3721.39981999,3716.54000043,14444.336120500002,3710.00000001
641,3718.66665001,3710.00000001,3722.74382999,3710.00000001,9787.12663751,3724.38999678
642,3718.8606700000005,3724.38999678,3725.40999991,3714.24998006,29378.00392616,3726.99465851
643,3723.60675114,3726.99465851,3726.99465851,3723.60675114,4432.99991007,3714.88460463
644,3726.99465851,3714.88460463,3732.39999982,3714.10029115,35534.7297192,3717.26305298
645,3716.95348995,3717.26305298,3722.04770145,3716.95348995,20792.52278356,3714.64078905
646,3714.01029105,3714.64078905,3715.89203586,3710.0,7808.11827044,3722.12999925
647,3714.29280465,3722.12999925,3722.12999925,3714.29280465,8981.62264604,3710.0
648,3722.66999953,3710.0,3722.66999953,3710.0,4497.39000307,3708.08464025
649,3709.20323389,3708.08464025,3709.20323389,3700.0,4670.10080896,3719.22138508
650,3709.20323389,3719.22138508,3719.22138508,3709.20323389,3436.72771052,3722.54879171
651,3718.91923996,3722.54879171,3722.54879171,3718.91923996,6397.46556913,3720.71164342
652,3720.71692061,3720.71164342,3720.71692084,3718.83038228,3628.48158802,3722.03596
653,3718.29658338,3722.03596,3722.03596054,3718.10000001,10735.35023892,3715.52016874
654,3719.8,3715.52016874,3719.8,3715.52016874,4672.35222284,3711.87245166
655,3719.1206270000002,3711.87245166,3719.1206270000002,3711.87245166,4245.66499564,3707.0609
656,3711.87245166,3707.0609,3713.59992888,3707.0609,5193.96427895,3718.9106265
657,3710.73273988,3718.9106265,3718.9106265,3706.3315903000002,1318.1021717,3712.31604005
658,3716.11048971,3712.31604005,3717.34999957,3710.39933117,2869.8907088000005,3717.78888531
659,3716.00996996,3717.78888531,3719.12062697,3712.0219803000005,1271.99241801,3724.66661549
660,3719.12062699,3724.66661549,3724.66661549,3719.12062699,1372.88884289,3724.66661549
661,3724.66661549,3724.66661549,3724.66661549,3724.66661549,0.0,3720.48764
662,3719.72509617,3720.48764,3722.42220999,3719.725096,65.65361743,3726.68480539
663,3724.0,3726.68480539,3726.68480539,3723.00740469,1439.20894844,3716.5234
664,3726.68480539,3716.5234,3730.13967821,3716.5234,9242.6618271,3728.8599600000002
665,3721.2934600000003,3728.8599600000002,3728.96995998,3721.2934600000003,220.30979871,3730.6299942
666,3728.39,3730.6299942,3730.6299942,3728.39,1320.63859346,3732.77315194
667,3730.6299942,3732.77315194,3735.0,3730.6299942,15191.93432513,3743.56221997
668,3731.60123364,3743.56221997,3744.86999995,3731.60123364,63661.70186455,3739.74992998
669,3743.96225997,3739.74992998,3743.96225997,3738.28595319,5737.13196182,3739.04622138
670,3741.28998999,3739.04622138,3742.0,3739.04622138,17095.47945097,3735.8008700000005
671,3739.50998999,3735.8008700000005,3742.05949416,3733.71231857,5780.18907774,3739.89335
672,3731.67997023,3739.89335,3741.26999987,3727.50260015,37851.29083081,3740.4324899999997
673,3744.48562998,3740.4324899999997,3745.08234992,3740.4324899999997,6450.36571289,3739.4999299999995
674,3741.68147999,3739.4999299999995,3741.95499731,3738.72954648,4062.9965571999996,3748.8387299999995
675,3741.58146999,3748.8387299999995,3753.72014007,3741.07944635,45119.14322969,3752.93874
676,3751.98014058,3752.93874,3757.43575654,3747.09332635,90031.21291004,3781.61056905
677,3754.9860700000004,3781.61056905,3794.978524,3752.11718431,131760.70793842,3838.90700003
678,3781.61056905,3838.90700003,3845.0,3781.61056905,529826.29718605,3838.56186003
679,3845.1222163,3838.56186003,3845.122217,3827.20778001,46820.80371053,3823.81298005
680,3837.46417004,3823.81298005,3838.56,3817.00000001,38984.78323691,3836.55600988
681,3823.76298001,3836.55600988,3843.55929171,3819.4646,95931.67714680001,3831.08924818
682,3836.55600987,3831.08924818,3837.99641193,3828.37421905,42030.19681007,3868.0699799999998
683,3829.70000013,3868.0699799999998,3879.87999999,3829.70000013,167108.2448085,3839.99999999
684,3864.27958997,3839.99999999,3874.99999996,3827.54510055,37123.25536845,3838.01705217
685,3839.38,3838.01705217,3839.38,3832.4597611,12428.46576538,3842.13993682
686,3833.00000054,3842.13993682,3850.0,3833.00000053,16352.20278469,3850.42805941
